"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2015,"Centre cívic","Coberta ","CL&CC","Centre Cívic Baró de Viver","Carrer Quito, 5","41.44620802133499","2.199171198057755","09","Sant Andreu","58","Baró de Viver","14.3",17875,8,6435,"Autoconsum"
2015,"Equipament cultural","Coberta ","MU","Museu del Disseny","Plaça de les Glòries Catalanes, 37","41.40281909366611","2.187757894880204","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",150,187500,82,67500,"Connexió a xarxa"
2014,"Casal","Coberta ",,"Casal de Barri de la Mercè","Carrer Torrent de les Roses, 4","41.38968155785907","2.105244669219351","04","Les Corts","21","Pedralbes",1,1250,1,450,"Autoconsum"
2014,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Carrer Tenerife","Mirador escales Carrer Tenerife","41.41729443677003","2.1640644473717927","07","Horta-Guinardó ","34","Can Baró","2.94",3675,2,1323,"Autoconsum amb bateries"
2014,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Umbracle Glòries","Plaça de les Glòries Catalanes, 1","41.4029320758283","2.1873891148408093","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","10.5",13125,6,4725,"Autoconsum amb bateries"
2014,"Mercat","Coberta ","MM","Nou Mercat dels Encants","Carrer de los Castillejos, 158","41.40102599933636","2.186205582709864","02","Eixample ","05","el Fort Pienc","29.92",37400,16,13464,"Connexió a xarxa"
2014,"Educació","Coberta ","BIBL","Centre Cultural Teresa Pàmies","Carrer Compte d'Urgell,  145-147","41.3869431165374","2.1521709980558863","02","Eixample ","09","la Nova Esquerra de l'Eixample","14.06",17575,8,6327,"Autoconsum"
2014,"Casal","Coberta ","CL&CC","Casal gent gran La Capa","Carrer Alts Forns, 84 Local 1","41.36005534586673","2.142527867362089","03","Sants-Montjuic ","13","la Marina de Port","7.5",9375,4,3375,"Autoconsum"
2014,"Centre cívic","Coberta ","CL&CC","Centre Cívic Casa del Rellotge","Jardins de Can Ferrero,  Passeig de la Zona Franca, 116","41.35810606930074","2.1416004144377943","03","Sants-Montjuic ","13","la Marina de Port",10,12500,5,4500,"Autoconsum"
2014,"Equipament cultural","Coberta ","CL&CC","Espai musical La Bàscula","Carrer  Ferrocarrils catalans,  8-10 / Carrer  Foc, 132","41.35854138550382","2.144948398054966","03","Sants-Montjuic ","13","la Marina de Port","5.25","6562.5",3,2363,"Autoconsum"
2014,"Instal·lació esportiva","Coberta ","POL","Poliesportiu La Bàscula","Carrer Ferrocarrils catalans,  8-10 / Carrer  Foc, 132","41.35807314669414","2.1452494191924414","03","Sants-Montjuic ","13","la Marina de Port","3.5",4375,2,1575,"Autoconsum"
2014,"Cementiri","Coberta ","CMT","Cementiri de les Corts","Av. Joan XXIII,  3-15","41.38427837391355","2.121577998055799","04","Les Corts","20","la Maternitat i Sant Ramon","56.4",70500,31,25380,"Autoconsum amb bateries"
2014,"Espai públic","Pèrgoles i espai públic ",,"Pèrgoles Can Rigalt","Av. Albert Bastardes, 19","41.379257004085034","2.106993795812095","04","Les Corts","20","la Maternitat i Sant Ramon","5.94",7425,3,2673,"Connexió a xarxa"
2014,"Centre cívic","Coberta ","CL&CC","Centre Cívic El Coll","Carrer Aldea, 15","41.41877742586031","2.149859782710402","06","Gràcia ","29","el Coll",11,13750,6,4950,"Autoconsum"
